year,month,day,hour,use,temp,humid
2017,1,11,1,68.61427656632068,0.2,56.0
2017,1,11,2,68.48173534968926,-0.4,52.0
2017,1,11,3,68.53867521982843,-0.9,54.0
2017,1,11,4,68.64364229643746,-2.1,56.0
2017,1,11,5,68.67706837500491,-2.9,54.0
2017,1,11,6,69.010726073015,-3.0,49.0
2017,1,11,7,69.4003781410898,-3.3,48.0
2017,1,11,8,69.74741864155588,-3.5,39.0
2017,1,11,9,70.35507475016662,-2.4,28.0
2017,1,11,10,71.96935265301893,-1.2,25.0
2017,1,11,11,79.0173874517443,0.1,24.0
2017,1,11,12,80.54869772306152,1.7,27.0
2017,1,11,13,86.6751471927714,2.7,30.0
2017,1,11,14,82.60725351896889,3.3,35.0
2017,1,11,15,82.9115896691087,3.4,40.0
2017,1,11,16,78.17197452475669,3.5,45.0
2017,1,11,17,82.9195977012815,2.7,49.0
2017,1,11,18,134.41003729264546,1.6,60.0
2017,1,11,19,134.81126400473943,0.9,75.0
2017,1,11,20,133.85398273424408,0.5,79.0
2017,1,11,21,133.88435029679957,0.6,81.0
2017,1,11,22,134.08411480143621,0.5,84.0
2017,1,11,23,134.17546270057065,-0.2,86.0
2017,1,11,24,134.10842608255678,-0.2,88.0
2017,1,12,1,133.8668011085014,0.1,87.0
2017,1,12,2,133.9469278215884,-0.2,89.0
2017,1,12,3,133.9973463921485,-0.6,91.0
2017,1,12,4,134.14056203952725,-1.1,93.0
2017,1,12,5,134.32155682130698,-0.6,94.0
2017,1,12,6,134.25051287353818,-0.8,94.0
2017,1,12,7,134.35274838275916,-1.0,93.0
2017,1,12,8,134.60956763137582,-0.5,92.0
2017,1,12,9,135.4392991745348,0.3,89.0
2017,1,12,10,140.20994903336398,1.4,82.0
2017,1,12,11,148.96159934186167,1.2,89.0
2017,1,12,12,156.16794686158485,4.2,85.0
2017,1,12,13,152.56902564294606,5.7,76.0
2017,1,12,14,145.01531067413293,7.0,54.0
2017,1,12,15,143.97426538710985,7.0,51.0
2017,1,12,16,143.36511812768072,6.1,62.0
2017,1,12,17,138.78557194862375,5.8,55.0
2017,1,12,18,135.03108062193684,5.0,59.0
2017,1,12,19,134.5503070887408,4.1,68.0
2017,1,12,20,133.89867749477386,3.0,72.0
2017,1,12,21,132.9889981766261,2.2,69.0
2017,1,12,22,133.00041597367027,1.5,68.0
2017,1,12,23,133.31190081128904,0.9,71.0
2017,1,12,24,133.4925189394176,0.8,72.0
2017,1,13,1,133.5305488080673,0.4,71.0
2017,1,13,2,133.50719738625133,0.0,69.0
2017,1,13,3,133.77754634329352,-0.3,66.0
